gid,geometry
다사495469,"POLYGON ((126.92851191891144 37.52091423295559, 126.92964352708117 37.52091970312599, 126.92965038793811 37.520018384362956, 126.92851879337877 37.52001291436958, 126.92851191891144 37.52091423295559))"
다사496470,"POLYGON ((126.92963666591862 37.521821021750064, 126.93076828800498 37.5218264812559, 126.93077513555652 37.520925162455164, 126.92964352708117 37.52091970312599, 126.92963666591862 37.521821021750064))"
다사495470,"POLYGON ((126.92850504413789 37.521815551402625, 126.92963666591862 37.521821021750064, 126.92964352708117 37.52091970312599, 126.92851191891144 37.52091423295559, 126.92850504413789 37.521815551402625))"
다사497468,"POLYGON ((126.93078198280305 37.52002384351545, 126.93191357797299 37.520029291827065, 126.93192041130473 37.519127972572086, 126.93078882974461 37.51912252443678, 126.93078198280305 37.52002384351545))"
다사476450,"POLYGON ((126.9071468964199 37.50368322815532, 126.90827824017936 37.50368890081819, 126.90828535360855 37.50278758283689, 126.9071540234477 37.50278191035762, 126.9071468964199 37.50368322815532))"
다사476449,"POLYGON ((126.9071540234477 37.50278191035762, 126.90828535360855 37.50278758283689, 126.90829246672091 37.50188626471654, 126.90716115015802 37.501880592420875, 126.9071540234477 37.50278191035762))"
다사460476,"POLYGON ((126.88885436529621 37.527025128373495, 126.88998605767368 37.52703097930656, 126.88999339717357 37.526129667921815, 126.88886171841023 37.52612381717808, 126.88885436529621 37.527025128373495))"
다사460477,"POLYGON ((126.88884701185468 37.52792643942978, 126.88997871784683 37.52793229055219, 126.88998605767368 37.52703097930656, 126.88885436529621 37.527025128373495, 126.88884701185468 37.52792643942978))"
다사461476,"POLYGON ((126.88998605767368 37.52703097930656, 126.89111775037804 37.527036819396265, 126.89112507626382 37.52613550782254, 126.88999339717357 37.526129667921815, 126.88998605767368 37.52703097930656))"
다사459477,"POLYGON ((126.88771530619009 37.52792057746367, 126.88884701185468 37.52792643942978, 126.88885436529621 37.527025128373495, 126.88772267324633 37.52701926659707, 126.88771530619009 37.52792057746367))"
다사461477,"POLYGON ((126.88997871784683 37.52793229055219, 126.89111042416593 37.52793813083087, 126.89111775037804 37.527036819396265, 126.88998605767368 37.52703097930656, 126.88997871784683 37.52793229055219))"
다사461475,"POLYGON ((126.88999339717357 37.526129667921815, 126.89112507626382 37.52613550782254, 126.89113240182326 37.5252341961097, 126.89000073634652 37.52522835639794, 126.88999339717357 37.526129667921815))"
다사472446,"POLYGON ((126.9026502483316 37.50005516008664, 126.90378153642712 37.50006087534701, 126.90378870297366 37.49915955754606, 126.90265742847427 37.49915384247068, 126.9026502483316 37.50005516008664))"
다사473448,"POLYGON ((126.90376720237636 37.501863510531784, 126.90489851798516 37.50186921532848, 126.90490567157279 37.50096789762097, 126.90377436956135 37.50096219300892, 126.90376720237636 37.501863510531784))"
다사461466,"POLYGON ((126.89005943796296 37.51801785919867, 126.89119099455336 37.51802369739878, 126.89119831717667 37.51712238443391, 126.89006677419434 37.517116546422734, 126.89005943796296 37.51801785919867))"
다사462466,"POLYGON ((126.89119099455336 37.51802369739878, 126.89232255146993 37.51802952475903, 126.89232986048516 37.51712821160558, 126.89119831717667 37.51712238443391, 126.89119099455336 37.51802369739878))"
다사460468,"POLYGON ((126.88891318103833 37.519814634914646, 126.89004476451987 37.51982048433319, 126.8900521014048 37.51891917183549, 126.88892053153255 37.51891332260623, 126.88891318103833 37.519814634914646))"
다사461468,"POLYGON ((126.89004476451987 37.51982048433319, 126.8911763483282 37.519826322911186, 126.89118367160388 37.518925010224535, 126.8900521014048 37.51891917183549, 126.89004476451987 37.51982048433319))"
다사462468,"POLYGON ((126.8911763483282 37.519826322911186, 126.89230793246274 37.51983215064861, 126.89231524212913 37.51893083777337, 126.89118367160388 37.518925010224535, 126.8911763483282 37.519826322911186))"
다사460467,"POLYGON ((126.88892053153255 37.51891332260623, 126.8900521014048 37.51891917183549, 126.89005943796296 37.51801785919867, 126.88892788169935 37.51801201015871, 126.88892053153255 37.51891332260623))"
다사462462,"POLYGON ((126.89122028308968 37.51441844470467, 126.89235178557757 37.51442427131062, 126.89235909329066 37.513522957600756, 126.89122760440843 37.51351713118338, 126.89122028308968 37.51441844470467))"
다사461463,"POLYGON ((126.89008144567678 37.51531392045354, 126.89121296144482 37.51531975808687, 126.89122028308968 37.51441844470467, 126.89008878092788 37.51441260726027, 126.89008144567678 37.51531392045354))"
다사462463,"POLYGON ((126.89121296144482 37.51531975808687, 126.89234447753897 37.51532558488136, 126.89235178557757 37.51442427131062, 126.89122028308968 37.51441844470467, 126.89121296144482 37.51531975808687))"
다사461461,"POLYGON ((126.89009611585229 37.513511293927905, 126.89122760440843 37.51351713118338, 126.89123492540108 37.51261581752299, 126.89010345044997 37.51260998045641, 126.89009611585229 37.513511293927905))"
다사485463,"POLYGON ((126.9172379128949 37.51545103212129, 126.91836943632279 37.51545660962045, 126.91837643141325 37.51455529180939, 126.91724492159194 37.514549714490734, 126.9172379128949 37.51545103212129))"
다사486464,"POLYGON ((126.91836244092079 37.51635792729252, 126.9194939782675 37.516363494132804, 126.9195009600623 37.51546217628058, 126.91836943632279 37.51545660962045, 126.91836244092079 37.51635792729252))"
다사486463,"POLYGON ((126.91836943632279 37.51545660962045, 126.9195009600623 37.51546217628058, 126.91950794154612 37.514560858289364, 126.91837643141325 37.51455529180939, 126.91836943632279 37.51545660962045))"
다사485462,"POLYGON ((126.91724492159194 37.514549714490734, 126.91837643141325 37.51455529180939, 126.9183834261921 37.51365397385932, 126.9172519299768 37.513648396721166, 126.91724492159194 37.514549714490734))"
다사485464,"POLYGON ((126.91723090388565 37.516352349612845, 126.91836244092079 37.51635792729252, 126.91836943632279 37.51545660962045, 126.9172379128949 37.51545103212129, 126.91723090388565 37.516352349612845))"
다사467473,"POLYGON ((126.89679799125763 37.524361919236604, 126.89792964507005 37.52436769370531, 126.89793688830274 37.52346638058779, 126.89680524810271 37.52346060630596, 126.89679799125763 37.524361919236604))"
다사466472,"POLYGON ((126.89567360822593 37.5234548211821, 126.89680524810271 37.52346060630596, 126.89681250462458 37.52255929323622, 126.89568087835957 37.52255350829955, 126.89567360822593 37.5234548211821))"
다사468474,"POLYGON ((126.89792240151469 37.52526900668372, 126.89905406926277 37.52527477049656, 126.89906129920513 37.52437345733162, 126.89792964507005 37.52436769370531, 126.89792240151469 37.52526900668372))"
다사485444,"POLYGON ((126.91737102477042 37.49832597337218, 126.91850228977641 37.498331547442525, 126.91850927894949 37.49743022699068, 126.9173780275386 37.497424653100765, 126.91737102477042 37.49832597337218))"
다사484444,"POLYGON ((126.91623976007635 37.49832038846948, 126.91737102477042 37.49832597337218, 126.9173780275386 37.497424653100765, 126.9162467764396 37.49741906837883, 126.91623976007635 37.49832038846948))"
다사485445,"POLYGON ((126.91736402169035 37.499227293504624, 126.91849530029204 37.49923286775539, 126.91850228977641 37.498331547442525, 126.91737102477042 37.49832597337218, 126.91736402169035 37.499227293504624))"
다사486444,"POLYGON ((126.91850228977641 37.498331547442525, 126.9196335550937 37.49833711068048, 126.91964053067167 37.49743579004857, 126.91850927894949 37.49743022699068, 126.91850228977641 37.498331547442525))"
다사476467,"POLYGON ((126.9070256883652 37.5190056094441, 126.90815726339352 37.51901128522889, 126.90816438221114 37.51810996961115, 126.90703282079171 37.51810429401003, 126.9070256883652 37.5190056094441))"
다사477468,"POLYGON ((126.9081501442588 37.51991260070759, 126.90928173321373 37.51991826583535, 126.90928883873892 37.519016950173324, 126.90815726339352 37.51901128522889, 126.9081501442588 37.51991260070759))"
다사476466,"POLYGON ((126.90703282079171 37.51810429401003, 126.90816438221114 37.51810996961115, 126.90817150071166 37.517208653854354, 126.90703995290053 37.51720297843691, 126.90703282079171 37.51810429401003))"
다사477466,"POLYGON ((126.90816438221114 37.51810996961115, 126.90929594394761 37.51811563437225, 126.90930304883985 37.51721431843213, 126.90817150071166 37.517208653854354, 126.90816438221114 37.51810996961115))"
다사477467,"POLYGON ((126.90815726339352 37.51901128522889, 126.90928883873892 37.519016950173324, 126.90929594394761 37.51811563437225, 126.90816438221114 37.51810996961115, 126.90815726339352 37.51901128522889))"
다사475466,"POLYGON ((126.90590125969 37.518098607568916, 126.90703282079171 37.51810429401003, 126.90703995290053 37.51720297843691, 126.90590840540709 37.517197292179816, 126.90590125969 37.518098607568916))"
다사476468,"POLYGON ((126.90701855562101 37.519906924739125, 126.9081501442588 37.51991260070759, 126.90815726339352 37.51901128522889, 126.9070256883652 37.5190056094441, 126.90701855562101 37.519906924739125))"
다사475468,"POLYGON ((126.90588696730092 37.51990123792994, 126.90701855562101 37.519906924739125, 126.9070256883652 37.5190056094441, 126.9058941136546 37.518999922818956, 126.90588696730092 37.51990123792994))"
다사475467,"POLYGON ((126.9058941136546 37.518999922818956, 126.9070256883652 37.5190056094441, 126.90703282079171 37.51810429401003, 126.90590125969 37.518098607568916, 126.9058941136546 37.518999922818956))"
다사489480,"POLYGON ((126.92164573846819 37.53079566777557, 126.92277749454486 37.53080120496387, 126.92278444046646 37.52989988879718, 126.92165269800678 37.52989435178806, 126.92164573846819 37.53079566777557))"
다사487479,"POLYGON ((126.91938921401801 37.52988324523578, 126.92052095585707 37.529888803934256, 126.92052792870201 37.52898748798725, 126.91939620047927 37.52898192946863, 126.91938921401801 37.52988324523578))"
다사487480,"POLYGON ((126.91938222724553 37.5307845608639, 126.92051398270156 37.53079011974224, 126.92052095585707 37.529888803934256, 126.91938921401801 37.52988324523578, 126.91938222724553 37.5307845608639))"
다사488481,"POLYGON ((126.92050700923541 37.53169143541124, 126.92163877861961 37.531696983624094, 126.92164573846819 37.53079566777557, 126.92051398270156 37.53079011974224, 126.92050700923541 37.53169143541124))"
다사460462,"POLYGON ((126.88895727909285 37.51440675897742, 126.89008878092788 37.51441260726027, 126.89009611585229 37.513511293927905, 126.88896462762284 37.51350544583431, 126.88895727909285 37.51440675897742))"
다사459462,"POLYGON ((126.8878257775851 37.51440089985613, 126.88895727909285 37.51440675897742, 126.88896462762284 37.51350544583431, 126.88783313972073 37.51349958690263, 126.8878257775851 37.51440089985613))"
다사498473,"POLYGON ((126.93187940674824 37.52453588601762, 126.93301107028078 37.5245413243682, 126.93301789152173 37.52364000563201, 126.93188624160206 37.523634567457414, 126.93187940674824 37.52453588601762))"
다사496472,"POLYGON ((126.92962294267662 37.52362365858131, 126.9307545919868 37.523629118440525, 126.93076144014842 37.52272779991769, 126.92962980445041 37.52272234023516, 126.92962294267662 37.52362365858131))"
다사497472,"POLYGON ((126.9307545919868 37.523629118440525, 126.93188624160206 37.523634567457414, 126.93189307615141 37.522733248758264, 126.93076144014842 37.52272779991769, 126.9307545919868 37.523629118440525))"
다사496473,"POLYGON ((126.92961608059711 37.52452497678849, 126.93074774352014 37.52453043682438, 126.9307545919868 37.523629118440525, 126.92962294267662 37.52362365858131, 126.92961608059711 37.52452497678849))"
다사496471,"POLYGON ((126.92962980445041 37.52272234023516, 126.93076144014842 37.52272779991769, 126.93076828800498 37.5218264812559, 126.92963666591862 37.521821021750064, 126.92962980445041 37.52272234023516))"
다사462481,"POLYGON ((126.89108111605395 37.531543375178046, 126.89221287716445 37.53154920536758, 126.89222019106485 37.53064789430082, 126.89108844357153 37.53064206429993, 126.89108111605395 37.531543375178046))"
다사464481,"POLYGON ((126.89334463860077 37.53155502471198, 126.89447640036225 37.53156083321123, 126.89448368702827 37.53065952176822, 126.89335193888398 37.53065371345692, 126.89334463860077 37.53155502471198))"
다사464483,"POLYGON ((126.89333003705873 37.53335764680474, 126.89446182605649 37.533363455679904, 126.89446911337167 37.53246214451512, 126.89333733799236 37.532456335827916, 126.89333003705873 37.53335764680474))"
다사462483,"POLYGON ((126.89106646003957 37.53334599651688, 126.89219824838624 37.53335182708373, 126.89220556293827 37.532450516295214, 126.89107378820997 37.53244468591702, 126.89106646003957 37.53334599651688))"
다사463481,"POLYGON ((126.89221287716445 37.53154920536758, 126.89334463860077 37.53155502471198, 126.89335193888398 37.53065371345692, 126.89222019106485 37.53064789430082, 126.89221287716445 37.53154920536758))"
다사464482,"POLYGON ((126.89333733799236 37.532456335827916, 126.89446911337167 37.53246214451512, 126.89447640036225 37.53156083321123, 126.89334463860077 37.53155502471198, 126.89333733799236 37.532456335827916))"
다사463483,"POLYGON ((126.89219824838624 37.53335182708373, 126.89333003705873 37.53335764680474, 126.89333733799236 37.532456335827916, 126.89220556293827 37.532450516295214, 126.89219824838624 37.53335182708373))"
다사473432,"POLYGON ((126.90388183903765 37.48744241348202, 126.90501293716163 37.4874481153249, 126.90502008565318 37.486546795393004, 126.90388900111684 37.486541093734694, 126.90388183903765 37.48744241348202))"
다사472432,"POLYGON ((126.90275074123268 37.48743670081109, 126.90388183903765 37.48744241348202, 126.90388900111684 37.486541093734694, 126.90275791689949 37.48653538124869, 126.90275074123268 37.48743670081109))"
다사465473,"POLYGON ((126.89453468460313 37.5243503377721, 126.89566633776845 37.52435613392554, 126.89567360822593 37.5234548211821, 126.89454196867298 37.52344902521622, 126.89453468460313 37.5243503377721))"
다사464474,"POLYGON ((126.89339573375499 37.52524584300516, 126.89452740020882 37.52525165018887, 126.89453468460313 37.5243503377721, 126.89340303176228 37.52434453077632, 126.89339573375499 37.52524584300516))"
다사464472,"POLYGON ((126.89341032944449 37.52344321840835, 126.89454196867298 37.52344902521622, 126.89454925241839 37.522547712521245, 126.89341762680162 37.52254190590128, 126.89341032944449 37.52344321840835))"
다사465472,"POLYGON ((126.89454196867298 37.52344902521622, 126.89567360822593 37.5234548211821, 126.89568087835957 37.52255350829955, 126.89454925241839 37.522547712521245, 126.89454196867298 37.52344902521622))"
다사464473,"POLYGON ((126.89340303176228 37.52434453077632, 126.89453468460313 37.5243503377721, 126.89454196867298 37.52344902521622, 126.89341032944449 37.52344321840835, 126.89340303176228 37.52434453077632))"
다사461471,"POLYGON ((126.89002275190404 37.5225244209916, 126.89115437654387 37.522530260136456, 126.89116170079821 37.52162894786714, 126.89003008976948 37.52162310891125, 126.89002275190404 37.5225244209916))"
다사460470,"POLYGON ((126.88889847906763 37.5216172591141, 126.89003008976948 37.52162310891125, 126.8900374273081 37.52072179669178, 126.8889058302167 37.52071594708393, 126.88889847906763 37.5216172591141))"
다사460472,"POLYGON ((126.88888377578714 37.52341988275707, 126.89001541371178 37.523425732932836, 126.89002275190404 37.5225244209916, 126.88889112759112 37.522518571005136, 126.88888377578714 37.52341988275707))"
다사461470,"POLYGON ((126.89003008976948 37.52162310891125, 126.89116170079821 37.52162894786714, 126.89116902472631 37.52072763545872, 126.8900374273081 37.52072179669178, 126.89003008976948 37.52162310891125))"
다사464449,"POLYGON ((126.8935780864506 37.50271299555418, 126.89470941276225 37.502718798041265, 126.8947166890495 37.50181748214726, 126.89358537633566 37.50181167984797, 126.8935780864506 37.50271299555418))"
다사464448,"POLYGON ((126.89358537633566 37.50181167984797, 126.8947166890495 37.50181748214726, 126.89472396501267 37.50091616611419, 126.89359266589604 37.5009103640027, 126.89358537633566 37.50181167984797))"
